postcode,eastings,northings,latitude,longitude
M7,382700,401000,53.50516,-2.26086
M8,384200,401400,53.5088,-2.23827
M9,385900,402800,53.52143,-2.21269
M90,381600,385200,53.36309,-2.27653
ME1,574000,166700,51.37216,0.50017
ME10,590600,164000,51.34258,0.73697
ME11,591100,171800,51.41247,0.74833
ME12,595000,173100,51.42282,0.80507
ME13,601900,160000,51.30275,0.89675
ME14,577200,156600,51.28043,0.54108
ME15,576800,153700,51.2545,0.53392
ME16,574300,155800,51.27414,0.49915
ME17,582200,151700,51.23484,0.61021
ME18,569100,152300,51.24426,0.42301
ME19,568100,157700,51.29307,0.41123
ME2,572900,168800,51.39136,0.4854
ME20,571400,159100,51.30467,0.45919
ME3,577000,173600,51.43322,0.54668
ME4,576100,167700,51.3805,0.53081
ME5,576400,164200,51.34896,0.53338
ME6,570100,161500,51.32662,0.4417
ME7,577900,167600,51.37904,0.5566
ME8,580900,165700,51.36102,0.5987
ME9,589800,162900,51.33297,0.72491
MK1,487400,234900,52.00522,-0.72659
MK10,489300,238700,52.03908,-0.69792
MK11,479500,240000,52.05226,-0.84048
MK12,481200,240600,52.05741,-0.81555
MK13,483400,240100,52.05258,-0.78359
MK14,484900,240900,52.05955,-0.76152
MK15,487200,240700,52.05739,-0.72802
MK16,487600,244200,52.08879,-0.72129
MK17,489200,233500,51.99235,-0.70074
MK18,470800,231800,51.97972,-0.96904
MK19,478700,242200,52.07215,-0.85164
MK2,487600,233200,51.98991,-0.72411
MK3,485600,233900,51.99651,-0.75306
MK4,483900,234700,52.00397,-0.77762
MK40,504600,250000,52.13797,-0.47145
MK41,506300,251500,52.15113,-0.44614
MK42,504500,248000,52.12002,-0.47352
MK43,498800,247700,52.11837,-0.55684
MK44,507600,256300,52.19402,-0.42563
MK45,505100,237400,52.02462,-0.46803
MK46,489500,251500,52.15411,-0.69165
MK5,483500,236500,52.02021,-0.78301
MK6,486300,237600,52.02967,-0.74193
MK7,489900,236500,52.01921,-0.68976
MK8,482100,238200,52.0357,-0.803
MK9,485100,238800,52.04064,-0.75912
N1,532000,183800,51.53717,-0.09652
N10,528600,190000,51.59368,-0.14325
N11,528900,192200,51.61338,-0.13812
N12,526300,192300,51.61487,-0.17561
N13,531400,192900,51.6191,-0.10176
N14,529500,194500,51.63392,-0.1286
N15,532900,188800,51.5819,-0.08166
N16,533400,186700,51.5629,-0.07525
N17,533600,190600,51.59791,-0.07088
N18,534000,192300,51.61309,-0.06446
N19,529800,186800,51.56464,-0.12712
N2,526900,189500,51.58957,-0.16797
N20,526400,193900,51.62923,-0.17359
N21,531600,194800,51.63612,-0.09816
N22,530900,190700,51.59944,-0.1098
N3,525200,190600,51.59984,-0.1921
N4,531600,187500,51.57052,-0.1009
N5,531900,185600,51.55337,-0.09729
N6,528800,187500,51.57116,-0.14129
N7,530600,185500,51.55277,-0.11607
N8,530500,188900,51.58335,-0.11625
